cache_misses,cache_load,cache_miss_ratio(%),dTLB_misses,dTLB_load,dTLB_miss_ratio(%),runtime(ms)
2767.000000,73910.000000,3.74,8.000000,1123.000000,0.71,0.039000
2908.000000,75869.000000,3.83,7.000000,1117.000000,0.63,0.054000
2796.000000,73220.000000,3.82,6.000000,1020.000000,0.59,0.042000
3085.000000,76382.000000,4.04,9.000000,1184.000000,0.76,0.110000
2946.000000,73335.000000,4.02,15.000000,1082.000000,1.39,0.111000
2802.000000,76315.000000,3.67,8.000000,1119.000000,0.71,0.069000
2929.000000,75982.000000,3.85,10.000000,1135.000000,0.88,0.067000
2929.000000,76686.000000,3.82,7.000000,1116.000000,0.63,0.093000
2877.000000,74168.000000,3.88,3.000000,1094.000000,0.27,0.039000
2857.000000,73852.000000,3.87,10.000000,1104.000000,0.91,0.070000
2928.000000,76374.000000,3.83,8.000000,1162.000000,0.69,0.057000
2919.000000,76668.000000,3.81,6.000000,1191.000000,0.50,0.033000
2797.000000,75761.000000,3.69,7.000000,1157.000000,0.61,0.050000
2942.000000,76044.000000,3.87,6.000000,1226.000000,0.49,0.050000
2905.000000,76370.000000,3.80,5.000000,1181.000000,0.42,0.043000
2981.000000,76677.000000,3.89,7.000000,1242.000000,0.56,0.015000
2778.000000,75972.000000,3.66,5.000000,1158.000000,0.43,0.042000
2929.000000,76795.000000,3.81,6.000000,1294.000000,0.46,0.033000
2902.000000,76334.000000,3.80,5.000000,1256.000000,0.40,0.032000
3003.000000,76638.000000,3.92,6.000000,1242.000000,0.48,0.053000
2920.000000,75835.000000,3.85,9.000000,1267.000000,0.71,0.049000
2818.000000,73058.000000,3.86,7.000000,1303.000000,0.54,0.042000
2935.000000,76627.000000,3.83,9.000000,1248.000000,0.72,0.039000
2969.000000,76692.000000,3.87,7.000000,1260.000000,0.56,0.039000
2844.000000,76431.000000,3.72,6.000000,1303.000000,0.46,0.038000
2731.000000,73168.000000,3.73,20.000000,1302.000000,1.54,0.024000
2873.000000,75764.000000,3.79,14.000000,1212.000000,1.16,0.041000
2846.000000,73234.000000,3.89,5.000000,1257.000000,0.40,0.041000
2762.000000,73749.000000,3.75,7.000000,1330.000000,0.53,0.039000
3045.000000,77119.000000,3.95,6.000000,1322.000000,0.45,0.033000
2811.000000,76443.000000,3.68,9.000000,1318.000000,0.68,0.033000
3086.000000,75401.000000,4.09,13.000000,1400.000000,0.93,0.034000
2932.000000,76154.000000,3.85,9.000000,1327.000000,0.68,0.017000
2853.000000,76120.000000,3.75,77.000000,1374.000000,5.60,0.044000
2848.000000,73628.000000,3.87,11.000000,1344.000000,0.82,0.052000
2936.000000,75884.000000,3.87,10.000000,1371.000000,0.73,0.053000
2866.000000,76405.000000,3.75,11.000000,1355.000000,0.81,0.053000
2981.000000,76584.000000,3.89,8.000000,1318.000000,0.61,0.016000
2932.000000,76576.000000,3.83,6.000000,1374.000000,0.44,0.015000
2790.000000,73494.000000,3.80,5.000000,1340.000000,0.37,0.015000
2896.000000,77146.000000,3.75,9.000000,1339.000000,0.67,0.042000
2888.000000,76533.000000,3.77,6.000000,1422.000000,0.42,0.016000
2883.000000,76297.000000,3.78,5.000000,1386.000000,0.36,0.015000
2845.000000,76345.000000,3.73,8.000000,1388.000000,0.58,0.015000
2700.000000,73457.000000,3.68,5.000000,1390.000000,0.36,0.029000
3155.000000,78109.000000,4.04,6.000000,1376.000000,0.44,0.015000
2716.000000,73277.000000,3.71,5.000000,1368.000000,0.37,0.015000
2935.000000,76326.000000,3.85,6.000000,1379.000000,0.44,0.016000
2970.000000,76525.000000,3.88,6.000000,1431.000000,0.42,0.037000
2851.000000,75887.000000,3.76,9.000000,1381.000000,0.65,0.021000
2755.000000,76358.000000,3.61,9.000000,1469.000000,0.61,0.039000
2825.000000,73798.000000,3.83,13.000000,1384.000000,0.94,0.033000
2786.000000,76258.000000,3.65,10.000000,1412.000000,0.71,0.073000
2733.000000,76322.000000,3.58,5.000000,1393.000000,0.36,0.040000
2851.000000,76299.000000,3.74,10.000000,1448.000000,0.69,0.040000
2748.000000,76167.000000,3.61,4.000000,1405.000000,0.28,0.015000
2739.000000,76016.000000,3.60,11.000000,1442.000000,0.76,0.046000
2934.000000,76195.000000,3.85,6.000000,1447.000000,0.41,0.015000
2838.000000,76587.000000,3.71,9.000000,1399.000000,0.64,0.016000
2874.000000,76105.000000,3.78,5.000000,1386.000000,0.36,0.016000
2671.000000,73468.000000,3.64,12.000000,1441.000000,0.83,0.016000
2898.000000,76207.000000,3.80,8.000000,1515.000000,0.53,0.016000
2822.000000,76010.000000,3.71,12.000000,1478.000000,0.81,0.016000
2710.000000,75990.000000,3.57,10.000000,1449.000000,0.69,0.015000
2832.000000,76645.000000,3.69,9.000000,1421.000000,0.63,0.017000
2738.000000,73570.000000,3.72,5.000000,1431.000000,0.35,0.016000
4950.000000,78379.000000,6.32,4.000000,1493.000000,0.27,0.016000
2909.000000,76693.000000,3.79,12.000000,1463.000000,0.82,0.061000
2871.000000,76886.000000,3.73,6.000000,1456.000000,0.41,0.034000
2828.000000,77063.000000,3.67,10.000000,1479.000000,0.68,0.085000
3771.000000,82571.000000,4.57,56.000000,1711.000000,3.27,0.076000
2725.000000,76448.000000,3.56,8.000000,1474.000000,0.54,0.062000
2976.000000,77156.000000,3.86,12.000000,1486.000000,0.81,0.052000
3435.000000,81516.000000,4.21,51.000000,1677.000000,3.04,0.213000
2762.000000,76312.000000,3.62,9.000000,1516.000000,0.59,0.040000
2843.000000,76335.000000,3.72,5.000000,1533.000000,0.33,0.033000
2802.000000,76665.000000,3.65,6.000000,1536.000000,0.39,0.016000
2732.000000,76236.000000,3.58,7.000000,1504.000000,0.47,0.016000
2848.000000,76332.000000,3.73,5.000000,1472.000000,0.34,0.031000
2831.000000,73723.000000,3.84,6.000000,1542.000000,0.39,0.016000
2788.000000,76614.000000,3.64,6.000000,1575.000000,0.38,0.017000
2763.000000,76272.000000,3.62,8.000000,1527.000000,0.52,0.016000
2829.000000,76393.000000,3.70,5.000000,1529.000000,0.33,0.016000
2809.000000,76442.000000,3.67,12.000000,1545.000000,0.78,0.016000
2896.000000,76410.000000,3.79,10.000000,1538.000000,0.65,0.068000
2914.000000,76377.000000,3.82,13.000000,1554.000000,0.84,0.015000
2844.000000,76153.000000,3.73,8.000000,1534.000000,0.52,0.016000
2651.000000,73470.000000,3.61,8.000000,1541.000000,0.52,0.017000
2836.000000,76494.000000,3.71,10.000000,1516.000000,0.66,0.026000
2739.000000,76053.000000,3.60,11.000000,1541.000000,0.71,0.016000
2651.000000,73442.000000,3.61,12.000000,1559.000000,0.77,0.043000
2759.000000,73792.000000,3.74,10.000000,1533.000000,0.65,0.016000
2737.000000,76265.000000,3.59,7.000000,1582.000000,0.44,0.016000
2824.000000,76223.000000,3.70,9.000000,1555.000000,0.58,0.016000
2762.000000,76790.000000,3.60,16.000000,1620.000000,0.99,0.016000
2744.000000,76092.000000,3.61,9.000000,1552.000000,0.58,0.016000
2806.000000,76517.000000,3.67,2.000000,1574.000000,0.13,0.084000
2736.000000,73549.000000,3.72,8.000000,1528.000000,0.52,0.016000
2730.000000,76668.000000,3.56,8.000000,1531.000000,0.52,0.016000
2757.000000,76184.000000,3.62,3.000000,1543.000000,0.19,0.016000
2844.000000,76277.000000,3.73,8.000000,1507.000000,0.53,0.017000
2784.000000,76166.000000,3.66,10.000000,1555.000000,0.64,0.016000
2831.000000,76235.000000,3.71,8.000000,1541.000000,0.52,0.016000
2704.000000,73776.000000,3.67,8.000000,1597.000000,0.50,0.017000
2850.000000,76549.000000,3.72,8.000000,1580.000000,0.51,0.017000
2787.000000,76696.000000,3.63,8.000000,1559.000000,0.51,0.016000
2613.000000,76140.000000,3.43,6.000000,1581.000000,0.38,0.033000
2850.000000,76305.000000,3.74,11.000000,1586.000000,0.69,0.016000
2667.000000,75981.000000,3.51,10.000000,1560.000000,0.64,0.017000
2748.000000,73759.000000,3.73,9.000000,1607.000000,0.56,0.043000
2799.000000,76244.000000,3.67,8.000000,1584.000000,0.51,0.017000
2765.000000,76028.000000,3.64,21.000000,1618.000000,1.30,0.016000
2829.000000,76452.000000,3.70,8.000000,1630.000000,0.49,0.041000
2793.000000,76182.000000,3.67,10.000000,1624.000000,0.62,0.016000
2914.000000,76134.000000,3.83,7.000000,1601.000000,0.44,0.016000
2790.000000,75850.000000,3.68,12.000000,1609.000000,0.75,0.063000
2716.000000,73869.000000,3.68,8.000000,1600.000000,0.50,0.050000
2805.000000,76193.000000,3.68,11.000000,1620.000000,0.68,0.017000
2814.000000,76775.000000,3.67,12.000000,1643.000000,0.73,0.051000
2686.000000,73656.000000,3.65,5.000000,1597.000000,0.31,0.016000
2676.000000,76095.000000,3.52,7.000000,1578.000000,0.44,0.016000
2787.000000,76221.000000,3.66,8.000000,1624.000000,0.49,0.016000
2680.000000,73451.000000,3.65,11.000000,1635.000000,0.67,0.016000
2731.000000,76002.000000,3.59,8.000000,1614.000000,0.50,0.016000
2785.000000,76480.000000,3.64,9.000000,1635.000000,0.55,0.016000
2846.000000,76320.000000,3.73,11.000000,1653.000000,0.67,0.017000
2696.000000,73644.000000,3.66,9.000000,1638.000000,0.55,0.055000
2754.000000,76335.000000,3.61,11.000000,1617.000000,0.68,0.016000
2702.000000,76215.000000,3.55,13.000000,1666.000000,0.78,0.017000
2748.000000,76488.000000,3.59,15.000000,1626.000000,0.92,0.037000
2690.000000,76314.000000,3.52,7.000000,1624.000000,0.43,0.055000
2672.000000,73382.000000,3.64,7.000000,1601.000000,0.44,0.041000
2744.000000,76515.000000,3.59,10.000000,1660.000000,0.60,0.079000
2685.000000,73532.000000,3.65,14.000000,1675.000000,0.84,0.040000
2798.000000,76467.000000,3.66,9.000000,1669.000000,0.54,0.016000
2793.000000,76288.000000,3.66,6.000000,1683.000000,0.36,0.016000
2719.000000,76615.000000,3.55,13.000000,1690.000000,0.77,0.048000
2698.000000,76093.000000,3.55,6.000000,1669.000000,0.36,0.020000
2717.000000,76407.000000,3.56,8.000000,1670.000000,0.48,0.017000
2836.000000,76754.000000,3.69,11.000000,1664.000000,0.66,0.045000
2721.000000,76461.000000,3.56,11.000000,1653.000000,0.67,0.017000
2732.000000,76206.000000,3.59,6.000000,1636.000000,0.37,0.017000
4873.000000,78560.000000,6.20,9.000000,1640.000000,0.55,0.046000
2819.000000,76405.000000,3.69,8.000000,1683.000000,0.48,0.016000
2875.000000,76702.000000,3.75,8.000000,1690.000000,0.47,0.017000
2790.000000,76744.000000,3.64,12.000000,1702.000000,0.71,0.043000
2774.000000,76549.000000,3.62,16.000000,1674.000000,0.96,0.072000
2616.000000,73408.000000,3.56,8.000000,1672.000000,0.48,0.016000
2709.000000,76563.000000,3.54,12.000000,1718.000000,0.70,0.016000
2784.000000,76216.000000,3.65,40.000000,1754.000000,2.28,0.094000
2881.000000,77099.000000,3.74,11.000000,1712.000000,0.64,0.034000
2755.000000,75783.000000,3.64,23.000000,1691.000000,1.36,0.086000
2662.000000,75452.000000,3.53,34.000000,1733.000000,1.96,0.096000
2962.000000,78141.000000,3.79,19.000000,1746.000000,1.09,0.089000
2749.000000,76001.000000,3.62,10.000000,1682.000000,0.59,0.092000
2662.000000,76123.000000,3.50,13.000000,1708.000000,0.76,0.017000
2583.000000,75688.000000,3.41,40.000000,1707.000000,2.34,0.089000
2837.000000,76691.000000,3.70,9.000000,1686.000000,0.53,0.036000
2656.000000,76670.000000,3.46,10.000000,1711.000000,0.58,0.043000
2718.000000,76587.000000,3.55,12.000000,1704.000000,0.70,0.041000
2687.000000,76421.000000,3.52,14.000000,1652.000000,0.85,0.073000
2775.000000,76240.000000,3.64,17.000000,1706.000000,1.00,0.072000
2744.000000,76039.000000,3.61,11.000000,1707.000000,0.64,0.091000
2728.000000,76426.000000,3.57,19.000000,1725.000000,1.10,0.089000
2847.000000,76467.000000,3.72,10.000000,1682.000000,0.59,0.086000
2733.000000,76625.000000,3.57,10.000000,1704.000000,0.59,0.079000
2648.000000,76860.000000,3.45,14.000000,1682.000000,0.83,0.084000
2688.000000,77112.000000,3.49,13.000000,1727.000000,0.75,0.026000
2758.000000,76394.000000,3.61,5.000000,1693.000000,0.30,0.038000
2608.000000,76302.000000,3.42,15.000000,1740.000000,0.86,0.016000
2781.000000,76661.000000,3.63,9.000000,1735.000000,0.52,0.016000
2801.000000,76472.000000,3.66,10.000000,1704.000000,0.59,0.050000
2753.000000,76092.000000,3.62,13.000000,1738.000000,0.75,0.017000
2695.000000,76821.000000,3.51,187.000000,1904.000000,9.82,0.071000
2741.000000,76534.000000,3.58,9.000000,1704.000000,0.53,0.017000
2729.000000,76575.000000,3.56,9.000000,1707.000000,0.53,0.016000
2629.000000,73571.000000,3.57,6.000000,1706.000000,0.35,0.018000
2824.000000,76652.000000,3.68,8.000000,1721.000000,0.46,0.058000
2742.000000,76697.000000,3.58,11.000000,1736.000000,0.63,0.061000
2809.000000,76404.000000,3.68,9.000000,1711.000000,0.53,0.085000
2635.000000,76104.000000,3.46,17.000000,1726.000000,0.98,0.092000
2751.000000,76249.000000,3.61,12.000000,1742.000000,0.69,0.017000
2658.000000,76036.000000,3.50,10.000000,1722.000000,0.58,0.016000
2670.000000,76153.000000,3.51,12.000000,1692.000000,0.71,0.016000
2752.000000,76343.000000,3.60,9.000000,1744.000000,0.52,0.025000
2760.000000,73654.000000,3.75,21.000000,1734.000000,1.21,0.052000
2613.000000,76235.000000,3.43,9.000000,1707.000000,0.53,0.017000
2699.000000,76136.000000,3.54,9.000000,1720.000000,0.52,0.017000
2606.000000,75878.000000,3.43,11.000000,1759.000000,0.63,0.017000
2673.000000,75994.000000,3.52,9.000000,1729.000000,0.52,0.016000
2764.000000,76723.000000,3.60,15.000000,1736.000000,0.86,0.053000
2748.000000,76381.000000,3.60,16.000000,1766.000000,0.91,0.022000
2821.000000,76565.000000,3.68,6.000000,1693.000000,0.35,0.061000
2791.000000,76574.000000,3.64,14.000000,1750.000000,0.80,0.075000
3149.000000,78061.000000,4.03,38.000000,1864.000000,2.04,0.057000
2713.000000,76424.000000,3.55,4.000000,1712.000000,0.23,0.019000
2712.000000,73867.000000,3.67,12.000000,1725.000000,0.70,0.045000
2724.000000,76587.000000,3.56,15.000000,1695.000000,0.88,0.054000
